"model","residual","fitted","std_residual","species","time","MPA","source","resp"
"pooled",-1.78246577099856,0.346492500648787,-0.938542084309502,"Semicossyphus pulcher",4,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.119944023762206,-0.529324404944678,0.0631554983516933,"Strongylocentrotus purpuratus",4,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.67671948348935,-0.428354950511761,0.882862282373512,"Macrocystis pyrifera",4,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.885130803952906,0.00954433744530897,0.466058043382859,"Mesocentrotus franciscanus",4,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-2.28866091425008,0.220442834940086,-1.20507480125951,"Panulirus interruptus",4,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.534396304174452,0.346492500648787,0.281381796681689,"Semicossyphus pulcher",4,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.09035362067725,-0.529324404944678,0.574116359727654,"Strongylocentrotus purpuratus",4,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.594977920524737,-0.269075945086796,0.313280527869319,"Macrocystis pyrifera",5,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.672492839817746,-0.0538530402079768,0.354095344682091,"Mesocentrotus franciscanus",5,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-2.3240364093064,0.325852598465631,-1.22370146517858,"Panulirus interruptus",5,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.730815486217794,0.317493729123156,-0.38480463459125,"Semicossyphus pulcher",5,"Abalone Cove SMCA","PISCO","pooled"
"pooled",3.54746484474276,-0.609200550356197,1.86788722878777,"Strongylocentrotus purpuratus",5,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.594977920524737,-0.269075945086796,0.313280527869319,"Macrocystis pyrifera",5,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.914664619761903,-0.0538530402079768,0.48160882113017,"Mesocentrotus franciscanus",5,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-1.32438142857676,0.325852598465631,-0.697341697451442,"Panulirus interruptus",5,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.497947871742315,0.317493729123156,-0.262190186777444,"Semicossyphus pulcher",5,"Abalone Cove SMCA","PISCO","pooled"
"pooled",3.59936177886074,-0.609200550356197,1.89521311493316,"Strongylocentrotus purpuratus",5,"Abalone Cove SMCA","PISCO","pooled"
"pooled",3.03024074275478,-0.109796939661831,1.59554730808177,"Macrocystis pyrifera",6,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.138628772506021,-0.117250417861262,-0.0729937927616865,"Mesocentrotus franciscanus",6,"Abalone Cove SMCA","PISCO","pooled"
"pooled",1.08617205005053,0.431262361991177,0.571914589530694,"Panulirus interruptus",6,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.324152808244608,0.288494957597525,-0.170679884705017,"Semicossyphus pulcher",6,"Abalone Cove SMCA","PISCO","pooled"
"pooled",3.7933284868665,-0.689076695767716,1.99734462364449,"Strongylocentrotus purpuratus",6,"Abalone Cove SMCA","PISCO","pooled"
"pooled",3.03024074275478,-0.109796939661831,1.59554730808177,"Macrocystis pyrifera",6,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.251530033491137,-0.117250417861262,0.1324409846967,"Mesocentrotus franciscanus",6,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.700139749499923,0.431262361991177,0.368652588170302,"Panulirus interruptus",6,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.257242414093421,0.288494957597525,-0.1354487897744,"Semicossyphus pulcher",6,"Abalone Cove SMCA","PISCO","pooled"
"pooled",2.94725593881921,-0.689076695767716,1.55185237036183,"Strongylocentrotus purpuratus",6,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.497897367382709,0.0494820657631334,0.26216359413948,"Macrocystis pyrifera",7,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.427530771858375,-0.180647795514548,0.225112665979343,"Mesocentrotus franciscanus",7,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.545598518013393,0.536672125516723,-0.28728022642791,"Panulirus interruptus",7,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.202146187538091,0.259496186071895,-0.106438343599123,"Semicossyphus pulcher",7,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.102935168465333,-0.768952841179235,-0.054199631281605,"Strongylocentrotus purpuratus",7,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.497897367382709,0.0494820657631334,0.26216359413948,"Macrocystis pyrifera",7,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.171888615424667,-0.180647795514548,0.0905064781689274,"Mesocentrotus franciscanus",7,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.208799172481697,0.536672125516723,-0.109941415836159,"Panulirus interruptus",7,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.170981049400399,0.259496186071895,-0.0900286070524528,"Semicossyphus pulcher",7,"Abalone Cove SMCA","PISCO","pooled"
"pooled",0.190497503706,-0.768952841179235,0.100304828902171,"Strongylocentrotus purpuratus",7,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.48015794909889,0.208761071188098,-0.25282305538613,"Macrocystis pyrifera",8,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-0.26417199297601,-0.244045173167834,-0.139097500180889,"Mesocentrotus franciscanus",8,"Abalone Cove SMCA","PISCO","pooled"
"pooled",-1.80098045693394,0.642081889042269,-0.94829083360436,"Panulirus interruptus",8,"Abalone Cove SMCA","PISCO","pooled"
